company_name,website,email,description,contact_page,address,sources,score
Agence GW,https://www.agence-gw.com/,contact@agence-gw.com,"Agence web à Bordeaux. ESN labellisée NR. Sites internet développés dans une démarche d'écoconception. Experts Adobe Commerce, Symfony, Prestashop et WordPress.",https://www.agence-gw.com/contact,Voir le plan,"['google', 'maps', 'pj']",7
Sympozium,https://www.sympozium.fr/,contact@sympozium.fr,"Experts en création et développement de sites internet, Design graphique et Stratégie digitale. Sympozium agence digitale à Bordeaux depuis 2001.",https://www.sympozium.fr/contact,Voir le plan,"['google', 'pj']",7
Wowdesigns,https://wowdesigns.fr/,contact@wowdesigns.fr,"Agence Web à Bordeaux, Wowdesigns est spécialisée dans le Marketing digital. Nous intervenons dans le SEO, la création de sites web, la publicité en ligne.",https://wowdesigns.fr/contact,Voir le plan,['pj'],7
Aurora Studio,https://aurorastudio.fr/,contact@aurorastudio.fr,"Agence WordPress à Bordeaux, 13 années d'expertise +100 sites créés +80 avis 5★. Des sites sur-mesure qui transforment vos visiteurs en clients. Devis gratuit.",https://aurorastudio.fr/contact,Voir le plan,['pj'],7
Mixy Design - Agence de communication,https://www.mixy-design.com/,info@mixy-design.com,"Agence de communication à Bordeaux : création de sites internet et sites marchands, brochures, plaquettes, logos, infographies, référencement SEO...",https://www.mixy-design.com/contact,Voir le plan,['pj'],7
Bee l'Abeille du Marketing,https://abeille.marketing/,hello@abeille.marketing,15 ans d’expérience en marketing. Bee l’Abeille: conseil en stratégie marketing et mise en œuvre concrète à Bordeaux. Fidélisez et économisez en 2026 !,https://abeille.marketing/contact,Voir le plan,['pj'],7
Ethiko à Bordeaux,https://ethiko.org/,contact@ethiko.org,"Ethiko, agence web à Bordeaux spécialisée en éco-conception, création de site internet, UX UI design, e-commerce, application web, marketing digital.",https://ethiko.org/mentions-legales,Voir le plan,"['maps', 'pj']",7
OSE Communication,https://ose-communication.fr/,ricardo@ose-communication.fr,OSE Communication est votre agence de communication à Bordeaux. Stratégies créatives et solutions complètes pour donner vie à vos projets.,https://ose-communication.fr/contact,Voir le plan,['pj'],7
Karao Design,https://karaodesign.fr/,contact@karaodesign.fr,"Création de site web, portfolio et landing page premium pour artistes et entreprises créatives.",https://karaodesign.fr/a-propos,Voir le plan,['pj'],7
2FCI,https://2fci.com/,contact@2fci.com,"2FCI vous permet d'avoir une identité visuelle forte, un site internet sur-mesure et un référencement optimisé, boostant ainsi votre présence sur internet.",https://2fci.com/contact,Voir le plan,['pj'],7
HORIZON,https://www.hrz.fr/,contact@hrz.fr,"Horizon, agence de création de site internet depuis 2012. Sites sur mesure, optimisés SEO, conçus pour convertir. Toulouse, Bordeaux, Lyon, Montpellier.",https://www.hrz.fr/contact,"1 Pl. Ravezies, 33300 Bordeaux",['maps'],7
Le Site Français,https://le-site-francais.fr/,bonjour@le-site-francais.fr,"Chez le Site Français, nous créons des Sites Internet pour les professionnels et nous le faisons bien ! Site dès 49€HT en location !",https://le-site-francais.fr/contact,"9 Rue Vauban, 33000 Bordeaux",['maps'],7
Snapp' - Expert en développement mobile et web,http://www.snapp.fr/,contact@snapp.fr,Snapp’ est spécialisé dans le développement de projets web et mobile sur mesure depuis plus de 15 ans. Nous vous conseillons pour une transformation numérique plus responsable.,http://www.snapp.fr/contact,"78 Rue Judaïque, 33000 Bordeaux",['maps'],7
Cohérence - Agence Digitale | Bordeaux,https://www.coherence-communication.fr/,support@agence-coherence.fr,"Cohérence, votre agence digitale vous aide à améliorer votre visibilité en ligne et à développer votre activité. Création de sites, SEO...",https://www.coherence-communication.fr/contact,"9 Av. Raymond Manaud, 33520 Bruges",['maps'],7
Web Tribe Studio,https://webtribe-studio.com/,contact@webtribe-studio.com,"Agence web, de marketing et de communication, faites nous confiance pour de la création de site web, lancer votre startup ou votre transition numérique !",https://webtribe-studio.com/contact,"30 Pl. Pey Berland, 33000 Bordeaux",['maps'],7
Dandi création site internet Bordeaux,https://www.dandi.fr/agences/agence-creation-site-bordeaux,contact@dandi.fr,"Découvrez notre agence de création de site web à Bordeaux. Dandi n'est pas une agence ordinaire, mais un véritable commercial disponible 24/7.",https://www.dandi.fr/contact,"6-3, Pl. du Palais, 33000 Bordeaux",['maps'],7
Ideclap,https://ideclap.fr/,contact@ideclap.fr,"Agence web à Bordeaux experte dans la création de site internet éco-conçu, accessible et responsable pour TPE, indépendants et associations.",https://ideclap.fr/mentions-legales,"20 Rue Capdeville, 33000 Bordeaux","['google', 'maps']",7
Kwantic,https://kwantic.fr/,contact@kwantic.fr,"Kwantic, agence de développement web à Bordeaux, vous accompagne dans la réalisation de votre site internet, de la phase de conception à la restitution clé en main.",https://kwantic.fr/contact,"74 Rue Georges Bonnac, 33000 Bordeaux","['google', 'maps']",7
IMPAKTE Digital - Création de site internet,https://www.impakte-digital.com/,contact@impakte-digital.com,"IMPAKTE Digital est une agence de communication et webmarketing qui vous propose différents services dans le domaine du digital : création de site internet, référencement sur les moteurs de recherche, communication sur les réseaux sociaux. Une équipe réactive et de confiance à votre écoute pour…",https://www.impakte-digital.com/contact,"5 Rue Fénelon, 33000 Bordeaux",['maps'],7
Webdevo,http://webdevo.fr/,contact@webdevo.fr,"Création de site internet à Bordeaux : sites rapides, design moderne et base SEO propre pour générer plus de demandes qualifiées.",http://webdevo.fr/mentions-legales,"16 Pl. des Quinconces, 33000 Bordeaux",['maps'],7
Omnium,https://omnium-digital.fr/,bonjour@omnium-digital.fr,Omnium vous aide à booster votre visibilité en ligne avec des solutions efficaces et personnalisées. De la création de site web au référencement SEO.,https://omnium-digital.fr/contact,"76 Quai de Bacalan, 33300 Bordeaux",['maps'],7
Log'in Line,https://www.loginline.com/,infra@loginline.com,Log'in Line est l'équipe infra des startups sans équipe infra,,Voir le plan,['pj'],6
Créasites Sud-ouest,https://www.creation-sites-internet-bordeaux.fr/,contact@site-internet.org,"Création de site internet Bordeaux et référencement Google ☎ 05 57 41 42 84. Créasites Sud-Ouest, votre agence web pour site e-commerce, vitrine, mobile.",,Voir le plan,"['maps', 'pj']",6
Agence web près de Bordeaux,https://vistalid.fr/agence-web/bordeaux,contact@vistalid.fr,"Création de site internet professionnel à Bordeaux – Vistalid, votre agence web spécialisée pour un site performant, moderne et bien référencé.",https://vistalid.fr/contact,,['google'],6
Ultrō - agence web Bordeaux,https://ultro.fr/seo/ultro-agence-web-bordeaux,contact@ultro.fr,"Ultrō est une agence web basée à Bordeaux, spécialisée en design, expérience utilisateur et e-commerce. Créée en 2009, Ultrō fait partie des agences partenaires des solutions Shopify, Sanity, Centra, Storyblok, Webflow et Contentful.",https://ultro.fr/contact,,['google'],6
Trouvez une agence web à Bordeaux,https://www.francenum.gouv.fr/experts-du-numerique/trouvez-une-agence-web-bordeaux,nom@exemple.org,"Dirigeants d'entreprise, vous recherchez une agence web à Bordeaux pour booster la présence en ligne de votre TPE PME, attirer de nouveaux clients et augmenter votre chiffre d'affaires ? Découvrez les agences web référencées par France Num dans la métropole bordelaise.",https://www.francenum.gouv.fr/contact,,['google'],6
Agence digitale à Bordeaux,https://www.adveris.fr/bureaux/bordeaux/,contact@adveris.fr,"Adveris, agence digitale à Bordeaux, vous accompagne dans tous vos projets :création site internet, SEO, SEA, social media.",https://www.adveris.fr/contact,,['google'],6
Agence web Bordeaux : création de sites et applis sur ...,https://www.definima.com/article/definima-agence-developpement-web-bordeaux,info@definima.com,Besoin d’un site ou d’un logiciel performant ? ✨ Notre agence de développement web à Bordeaux conçoit des solutions sur mesure pour booster votre activité.,https://www.definima.com/mentions-legales,,['google'],6
Développement web à Bordeaux | AWAM,https://www.agence-awam.fr/nos-expertises/developpement-web,contact@agence-awam.fr,"En recherche d'une agence de développement web à bordeaux ? Faites confiance à AWAM pour un développement web de qualité supérieure, adapté à vos besoins et à ceux de votre public cible.",https://www.agence-awam.fr/contact,,['google'],6
EEnov Agence web Bordeaux : création de site internet ...,https://eenov.com/,contact@eenov.com,"Vous cherchez une agence web à Bordeaux ? EEnov vous accompagne dans vos projets : création site internet, marketing, design, infogérance.",https://eenov.com/contact,,['google'],6
"Natural Net, l'agence web et web marketing n°1 (SEO, ...",https://www.natural-net.fr/,contact@natural-net.fr,"Agence web à Bordeaux : Natural-net & agence de web marketing. Stratégie web marketing, création de sites web & référencement (SEO, SEA, GEO et LLM).",https://www.natural-net.fr/contact,,['google'],6
Agence Web Bordeaux - Création site internet - Linkweb,https://linkweb.fr/agence-web-bordeaux/,contact@linkweb.fr,Notre agence web à Bordeaux met tout en oeuvre pour vous proposer une solution web fonctionnelle et adaptée à vos objectifs.,https://linkweb.fr/mentions-legales,,['google'],6
Frame Solutions,https://www.framesolutions.fr/,,"Agence de référencement local à Bordeaux spécialisée dans la création, refonte et référencement de sites pour les professionnels. Augmentez votre visibilité locale et recevez plus de devis !",https://www.framesolutions.fr/contact,Voir le plan,['pj'],5
Agence Thrive,https://agencethrive.fr/,,Agence THRIVE est une équipe passionnée par le digital et la stratégie d'entreprise. Nous apportons une vision neuve et unique à vos projets.,https://agencethrive.fr/contact,Voir le plan,"['google', 'maps', 'pj']",5
Omega Connect,https://www.omega-connect.com/,,"Nous accompagnons les entreprises dans l’externalisation de la Relation client, la collecte et le Traitement de données, la qualification et l’enrichissement de fichiers.",https://www.omega-connect.com/contact,Voir le plan,['pj'],5
Aropixel,https://www.aropixel.com/,,"À Bordeaux, Aropixel est votre expert en création de sites web sur mesure et développement d'applications métier sous Symfony. Découvrez également nos solutions dédiées aux la billetteries en ligne.",https://www.aropixel.com/contact,Voir le plan,"['google', 'pj']",5
WúGraphisme,https://wugraphisme.com/contact-laure-joyeux-webdesigner-graphiste/,,Un site de webdesign et de graphisme,https://wugraphisme.com/contact,Voir le plan,['pj'],5
Six Design,https://sixdesign.fr/,,"Agence web spécialisée en création de logos, développement de sites internet et optimisation du référencement naturel",https://sixdesign.fr/contact,Voir le plan,['pj'],5
idéveloppement,http://www.ideveloppement.fr/,,idéveloppement est une agence web spécialisée dans la création de solutions digitales : site internet et application métier.,http://www.ideveloppement.fr/mentions-legales,"88 Cr de Verdun, 33000 Bordeaux","['google', 'maps']",5
Creation De Site Web,https://creation-site-web-france.fr/,,Web site created using create-react-app,https://creation-site-web-france.fr/contact,"155 Rue de Bethmann, 33000 Bordeaux",['maps'],5
Kaizen Agency,https://www.kaizen-agency.fr/,,"Conseils et stratégie, développement web sur mesure , marketing digital, hébergement, sécurité et maintenance - contactez-nous",https://www.kaizen-agency.fr/nous-contacter,"9 Rue André Darbon, 33300 Bordeaux",['maps'],5
Mink - agence web et IA à Bordeaux,https://mink-agency.com/,,"Agence tech, Mink imagine et développe des produits digitaux innovants : apps, sites, IA… Du code utile, du design qui a du sens, des équipes engagées.",https://mink-agency.com/contact,"1 Cr Xavier Arnozan, 33000 Bordeaux","['google', 'maps']",5
hello RSE,https://www.hellorse.fr/,,"Découvrez hello RSE, la plateforme dédiée aux achats responsables en entreprise. Comparez, choisissez et adoptez des solutions durables en toute simplicité !",https://www.hellorse.fr/mentions-legales,"11 Cr du 30 Juillet 33000, 33300 Bordeaux",['maps'],5
Agence Digitale à Bordeaux – Pikka,https://pikka.fr/pages/agence-digitale-a-bordeaux,contact@pikka.fr,"Pikka , Agence Digitale à Bordeaux vous accompagne dans tous vos projets de création de site internet et e-commerce et de visibilité en ligne. Notre agence digitale est là spécialement pour vous afin de faire grandir votre entreprise et vos projets dans un monde de plus en plus digital. Le…",,,['google'],5
Omniscope,https://www.omniscope.fr/,,omniscope — digital future. 2024,,Voir le plan,['pj'],4
WeBridge,https://bordeauxbridgeclub.club.ffbridge.fr/,,"Bordeaux Bridge Club Esprit Des Lois, 4, rue Croix-de-Seguey à Bordeaux est une Association dont le but est l&#039;encouragement et le développement du jeu de bridge par l&#039;organisation entre ses membres de parties libres et tournois.",,Voir le plan,['pj'],4
